pressure(bar),heat flux(kW/m2),mass fluxkg/(m2⋅s),sub cooling,channel dia(mm),d/dMax,t/tMax
2.9,149.4,400,16.7,2,0.3533815995,0.08292682927
2.9,149.4,400,16.7,2,0.5548854604,0.2195121951
2.9,149.4,400,16.7,2,0.6901333823,0.268292683
2.9,149.4,400,16.7,2,0.7829019731,0.3756097561
2.9,149.4,400,16.7,2,0.8597681105,0.4634146342
2.9,149.4,400,16.7,2,0.9021318349,0.5804878048
2.9,149.4,400,16.7,2,0.9365507541,0.6780487805
2.9,149.4,400,16.7,2,0.9603530529,0.7853658536
2.9,149.4,400,16.7,2,0.9921065771,0.9024390243
2.9,149.4,400,16.7,2,1,1
6.5,84.1,86.7,30.7,2,0.4780512568,0.005311443747
6.5,84.1,86.7,30.7,2,0.5201116156,0.01690004828
6.5,84.1,86.7,30.7,2,0.5682056414,0.02848865282
6.5,84.1,86.7,30.7,2,0.5861897685,0.03621438918
6.5,84.1,86.7,30.7,2,0.6222456783,0.04587155964
6.5,84.1,86.7,30.7,2,0.6039839735,0.05649444713
6.5,84.1,86.7,30.7,2,0.6641745526,0.06615161758
6.5,84.1,86.7,30.7,2,0.6639700214,0.07967165621
6.5,84.1,86.7,30.7,2,0.6518150308,0.08546595847
6.5,84.1,86.7,30.7,2,0.6516104997,0.09898599711
6.5,84.1,86.7,30.7,2,0.6991639792,0.1463061323
6.5,84.1,86.7,30.7,2,0.7405961351,0.1994205698
6.5,84.1,86.7,30.7,2,0.7639711173,0.2496378561
6.5,84.1,86.7,30.7,2,0.7873753182,0.2979237083
6.5,84.1,86.7,30.7,2,0.7987121844,0.3462095606
6.5,84.1,86.7,30.7,2,0.8039277274,0.4002897151
6.5,84.1,86.7,30.7,2,0.8695675992,0.4485755673
6.5,84.1,86.7,30.7,2,0.8567259685,0.4997585708
6.5,84.1,86.7,30.7,2,0.9035051516,0.5982617093
6.5,84.1,86.7,30.7,2,0.9020149963,0.6967648479
6.5,84.1,86.7,30.7,2,0.9125483479,0.7981651376
6.5,84.1,86.7,30.7,2,0.9351636432,0.8985997103
6.5,84.1,86.7,30.7,2,1,1
9.9,84.3,99.8,30.2,2,0.3571741181,0.005311443747
9.9,84.3,99.8,30.2,2,0.4692134875,0.01593433124
9.9,84.3,99.8,30.2,2,0.4690189748,0.02076291646
9.9,84.3,99.8,30.2,2,0.5006856576,0.032351521
9.9,84.3,99.8,30.2,2,0.5325468533,0.03911154032
9.9,84.3,99.8,30.2,2,0.5323523406,0.04394012554
9.9,84.3,99.8,30.2,2,0.5320800227,0.05070014486
9.9,84.3,99.8,30.2,2,0.5477966564,0.05939159826
9.9,84.3,99.8,30.2,2,0.5635521924,0.06711733462
9.9,84.3,99.8,30.2,2,0.5632020698,0.07580878803
9.9,84.3,99.8,30.2,2,0.5949854604,0.08450024143
9.9,84.3,99.8,30.2,2,0.6105853865,0.09608884597
9.9,84.3,99.8,30.2,2,0.6103908733,0.1009174312
9.9,84.3,99.8,30.2,2,0.7049240917,0.1472718494
9.9,84.3,99.8,30.2,2,0.7028233533,0.1994205698
9.9,84.3,99.8,30.2,2,0.7490784955,0.247706422
9.9,84.3,99.8,30.2,2,0.7952558329,0.2979237083
9.9,84.3,99.8,30.2,2,0.7611382889,0.3471752777
9.9,84.3,99.8,30.2,2,0.7912488695,0.397392564
9.9,84.3,99.8,30.2,2,0.8535707685,0.4456784162
9.9,84.3,99.8,30.2,2,0.8676145922,0.4958957025
9.9,84.3,99.8,30.2,2,0.9279135586,0.5943988412
9.9,84.3,99.8,30.2,2,0.9557288881,0.7015934332
9.9,84.3,99.8,30.2,2,1,0.7991308547
9.9,84.3,99.8,30.2,2,0.9798873769,0.8995654274
9.9,84.3,99.8,30.2,2,0.9597747544,1
1.2,84.1,214.6,25.8,2,0.2719671188,0.06926719063
1.2,84.1,214.6,25.8,2,0.4657661807,0.1104862163
1.2,84.1,214.6,25.8,2,0.593339868,0.1583868099
1.2,84.1,214.6,25.8,2,0.6756773194,0.2286153772
1.2,84.1,214.6,25.8,2,0.7418711017,0.2832696421
1.2,84.1,214.6,25.8,2,0.7935403209,0.3147066599
1.2,84.1,214.6,25.8,2,0.8354988543,0.3843343668
1.2,84.1,214.6,25.8,2,0.8645440324,0.4384358401
1.2,84.1,214.6,25.8,2,0.8935931592,0.4848703343
1.2,84.1,214.6,25.8,2,0.917800765,0.523565746
1.2,84.1,214.6,25.8,2,0.9339246886,0.5774749444
